,day,pair_id,batch,entry_ts,ce_k,pe_k,ce_entry,pe_entry,ce_exit,pe_exit,exit_ts,exit_reason,ce_pnl_pts,pe_pnl_pts,pair_pnl_pts,pair_pnl_$
14,20240129,0,0,6375,488.0,487.0,0.505,0.455,0.985,0.045,19788,t1_eod,-0.48,0.41000000000000003,-0.06999999999999995,-6.999999999999995
15,20240129,1,0,6375,488.0,487.0,0.505,0.455,0.985,0.045,19788,t1_eod,-0.48,0.41000000000000003,-0.06999999999999995,-6.999999999999995
16,20240130,0,0,7118,491.0,490.0,0.985,0.555,0.605,0.785,11025,t1_breach_half,0.38,-0.22999999999999998,0.15000000000000002,15.000000000000002
17,20240130,1,0,7118,491.0,490.0,0.985,0.555,0.555,0.865,11027,t1_breach_half,0.42999999999999994,-0.30999999999999994,0.12,12.0
18,20240130,2,1,13095,490.0,489.0,1.085,0.365,1.635,0.10500000000000001,19788,t1_eod,-0.55,0.26,-0.29000000000000004,-29.000000000000004
19,20240130,3,1,13095,490.0,489.0,1.085,0.365,1.635,0.10500000000000001,19788,t1_eod,-0.55,0.26,-0.29000000000000004,-29.000000000000004
20,20240206,0,0,16153,494.0,493.0,0.325,0.325,0.14500000000000002,0.705,16702,t1_breach_half,0.18,-0.37999999999999995,-0.19999999999999996,-19.999999999999996
21,20240206,1,0,16153,494.0,493.0,0.325,0.325,0.14500000000000002,0.715,16704,t1_breach_half,0.18,-0.38999999999999996,-0.20999999999999996,-20.999999999999996
22,20240208,0,0,3105,498.0,497.0,0.895,0.445,0.575,0.625,4306,t1_breach_half,0.32000000000000006,-0.18,0.14000000000000007,14.000000000000007
23,20240208,1,0,3105,498.0,497.0,0.895,0.445,0.575,0.62,4309,t1_breach_half,0.32000000000000006,-0.175,0.14500000000000007,14.500000000000007
24,20240208,2,1,6633,498.0,497.0,0.645,0.44,0.505,0.265,12709,t1_breach_half,0.14,0.175,0.315,31.5
25,20240208,3,1,6633,498.0,497.0,0.645,0.44,0.6699999999999999,0.27,12711,t1_breach_half,-0.02499999999999991,0.16999999999999998,0.14500000000000007,14.500000000000007
26,20240208,4,2,14511,498.0,497.0,0.525,0.165,0.455,0.055,19788,t1_eod,0.07,0.11000000000000001,0.18000000000000002,18.000000000000004
27,20240208,5,2,14511,498.0,497.0,0.525,0.165,0.455,0.055,19788,t1_eod,0.07,0.11000000000000001,0.18000000000000002,18.000000000000004
28,20240209,0,0,4927,500.0,499.0,0.735,0.435,1.33,0.025,19788,t1_eod,-0.5950000000000001,0.41,-0.1850000000000001,-18.50000000000001
29,20240209,1,0,4927,500.0,499.0,0.735,0.435,1.33,0.025,19788,t1_eod,-0.5950000000000001,0.41,-0.1850000000000001,-18.50000000000001
30,20240212,0,0,1802,501.0,500.0,1.0,0.305,1.135,0.10500000000000001,14964,t1_breach_half,-0.135,0.19999999999999998,0.06499999999999997,6.499999999999997
31,20240212,1,0,1802,501.0,500.0,1.0,0.305,1.14,0.10500000000000001,14966,t1_breach_half,-0.1399999999999999,0.19999999999999998,0.06000000000000008,6.000000000000008
32,20240214,0,0,12491,496.0,495.0,0.875,0.395,0.635,0.525,13216,t1_breach_half,0.24,-0.13,0.10999999999999999,10.999999999999998
33,20240214,1,0,12491,496.0,495.0,0.875,0.395,0.665,0.515,13218,t1_breach_half,0.20999999999999996,-0.12,0.08999999999999997,8.999999999999996
34,20240215,0,0,11038,500.0,499.0,0.965,0.345,1.33,0.225,13265,t1_breach_half,-0.3650000000000001,0.11999999999999997,-0.24500000000000013,-24.500000000000014
35,20240215,1,0,11038,500.0,499.0,0.965,0.345,1.32,0.225,13267,t1_breach_half,-0.3550000000000001,0.11999999999999997,-0.23500000000000013,-23.500000000000014
36,20240216,0,0,15024,502.0,501.0,0.625,0.325,0.325,0.505,18965,t1_breach_half,0.3,-0.18,0.12,12.0
37,20240216,1,0,15024,502.0,501.0,0.625,0.325,0.345,0.495,18967,t1_breach_half,0.28,-0.16999999999999998,0.11000000000000004,11.000000000000004
38,20240226,0,0,8403,508.0,507.0,0.575,0.435,0.185,0.775,14181,t1_breach_half,0.38999999999999996,-0.34,0.04999999999999993,4.999999999999993
39,20240226,1,0,8403,508.0,507.0,0.575,0.435,0.19,0.785,14183,t1_breach_half,0.38499999999999995,-0.35000000000000003,0.03499999999999992,3.499999999999992
40,20240226,2,1,16578,507.0,506.0,0.615,0.14500000000000002,0.315,0.295,17213,t1_breach_half,0.3,-0.14999999999999997,0.15000000000000002,15.000000000000002
41,20240226,3,1,16578,507.0,506.0,0.615,0.14500000000000002,0.28500000000000003,0.155,19786,t1_eod,0.32999999999999996,-0.009999999999999981,0.31999999999999995,31.999999999999996
42,20240227,0,0,5652,506.0,505.0,0.775,0.335,0.305,0.435,13121,t1_breach_half,0.47000000000000003,-0.09999999999999998,0.37000000000000005,37.00000000000001
43,20240227,1,0,5652,506.0,505.0,0.775,0.335,0.295,0.455,13132,t1_breach_half,0.48000000000000004,-0.12,0.36000000000000004,36.00000000000001
44,20240227,2,1,14932,505.0,504.0,0.715,0.11499999999999999,1.6749999999999998,0.015,19788,t1_eod,-0.9599999999999999,0.09999999999999999,-0.8599999999999999,-85.99999999999999
45,20240227,3,1,14932,505.0,504.0,0.715,0.11499999999999999,1.6749999999999998,0.015,19788,t1_eod,-0.9599999999999999,0.09999999999999999,-0.8599999999999999,-85.99999999999999
46,20240228,0,0,6473,507.0,506.0,0.515,0.485,0.10500000000000001,0.655,16995,t1_breach_half,0.41000000000000003,-0.17000000000000004,0.24,24.0
47,20240228,1,0,6473,507.0,506.0,0.515,0.485,0.10500000000000001,0.665,16997,t1_breach_half,0.41000000000000003,-0.18000000000000005,0.22999999999999998,23.0
48,20240304,0,0,2281,512.0,511.0,0.935,0.275,1.995,0.025,18593,t1_breach_half,-1.06,0.25,-0.81,-81.0
49,20240304,1,0,2281,512.0,511.0,0.935,0.275,1.975,0.025,18595,t1_breach_half,-1.04,0.25,-0.79,-79.0
50,20240313,0,0,6636,517.0,516.0,0.585,0.555,0.545,0.355,12735,t1_breach_half,0.039999999999999925,0.20000000000000007,0.24,24.0
51,20240313,1,0,6636,517.0,516.0,0.585,0.555,0.545,0.355,12737,t1_breach_half,0.039999999999999925,0.20000000000000007,0.24,24.0
52,20240313,2,1,14537,517.0,516.0,0.675,0.195,0.175,0.195,19788,t1_eod,0.5,0.0,0.5,50.0
53,20240313,3,1,14537,517.0,516.0,0.675,0.195,0.175,0.195,19788,t1_eod,0.5,0.0,0.5,50.0
54,20240320,0,0,1802,515.0,514.0,2.025,1.22,2.4000000000000004,1.12,16203,t1_breach_half,-0.37500000000000044,0.09999999999999987,-0.2750000000000006,-27.500000000000057
55,20240320,1,0,1802,515.0,514.0,2.025,1.22,2.515,1.025,16205,t1_breach_half,-0.4900000000000002,0.19500000000000006,-0.29500000000000015,-29.500000000000014
56,20240326,0,0,1802,521.0,520.0,0.85,0.3,0.245,0.07500000000000001,19788,t1_eod,0.605,0.22499999999999998,0.83,83.0
57,20240326,1,0,1802,521.0,520.0,0.85,0.3,0.245,0.07500000000000001,19788,t1_eod,0.605,0.22499999999999998,0.83,83.0
58,20240327,0,0,6463,520.0,519.0,0.785,0.325,0.575,0.10500000000000001,19788,t1_eod,0.21000000000000008,0.22,0.43000000000000005,43.00000000000001
59,20240327,1,0,6463,520.0,519.0,0.785,0.325,0.575,0.10500000000000001,19788,t1_eod,0.21000000000000008,0.22,0.43000000000000005,43.00000000000001
60,20240328,0,0,3422,523.0,522.0,0.885,0.405,1.3250000000000002,0.08499999999999999,19788,t1_eod,-0.44000000000000017,0.32000000000000006,-0.1200000000000001,-12.00000000000001
61,20240328,1,0,3422,523.0,522.0,0.885,0.405,1.3250000000000002,0.08499999999999999,19788,t1_eod,-0.44000000000000017,0.32000000000000006,-0.1200000000000001,-12.00000000000001
62,20240402,0,0,6820,518.0,517.0,0.615,0.495,0.325,0.155,19788,t1_eod,0.29,0.33999999999999997,0.6299999999999999,62.999999999999986
63,20240402,1,0,6820,518.0,517.0,0.615,0.495,0.325,0.155,19788,t1_eod,0.29,0.33999999999999997,0.6299999999999999,62.999999999999986
64,20240403,0,0,6528,521.0,520.0,0.615,0.46499999999999997,0.325,0.735,9712,t1_breach_half,0.29,-0.27,0.019999999999999962,1.9999999999999962
65,20240403,1,0,6528,521.0,520.0,0.615,0.46499999999999997,0.325,0.735,9714,t1_breach_half,0.29,-0.27,0.019999999999999962,1.9999999999999962
66,20240403,2,1,13952,521.0,520.0,0.325,0.335,0.08499999999999999,0.405,19788,t1_eod,0.24000000000000002,-0.07,0.17,17.0
67,20240403,3,1,13952,521.0,520.0,0.325,0.335,0.08499999999999999,0.405,19788,t1_eod,0.24000000000000002,-0.07,0.17,17.0
68,20240408,0,0,14655,519.0,518.0,0.705,0.265,0.525,0.125,19788,t1_eod,0.17999999999999994,0.14,0.31999999999999995,31.999999999999996
69,20240408,1,0,14655,519.0,518.0,0.705,0.265,0.525,0.125,19788,t1_eod,0.17999999999999994,0.14,0.31999999999999995,31.999999999999996
70,20240424,0,0,14339,505.0,504.0,1.0950000000000002,0.545,1.65,0.335,14898,t1_breach_half,-0.5549999999999997,0.21000000000000002,-0.3449999999999997,-34.49999999999997
71,20240424,1,0,14339,505.0,504.0,1.0950000000000002,0.545,1.65,0.335,14900,t1_breach_half,-0.5549999999999997,0.21000000000000002,-0.3449999999999997,-34.49999999999997
72,20240429,0,0,8925,510.0,509.0,0.555,0.455,0.215,0.46499999999999997,18129,t1_breach_half,0.3400000000000001,-0.009999999999999953,0.3300000000000001,33.000000000000014
73,20240429,1,0,8925,510.0,509.0,0.555,0.455,0.20500000000000002,0.515,18131,t1_breach_half,0.35000000000000003,-0.06,0.29000000000000004,29.000000000000004
74,20240506,0,0,4212,515.0,514.0,0.625,0.635,0.64,0.08499999999999999,19788,t1_eod,-0.015000000000000013,0.55,0.535,53.5
75,20240506,1,0,4212,515.0,514.0,0.625,0.635,0.64,0.08499999999999999,19788,t1_eod,-0.015000000000000013,0.55,0.535,53.5
76,20240507,0,0,4460,517.0,516.0,1.0150000000000001,0.365,0.83,0.255,15591,t1_breach_half,0.18500000000000016,0.10999999999999999,0.29500000000000015,29.500000000000014
77,20240507,1,0,4460,517.0,516.0,1.0150000000000001,0.365,0.795,0.275,15593,t1_breach_half,0.22000000000000008,0.08999999999999997,0.31000000000000005,31.000000000000007
78,20240508,0,0,7466,517.0,516.0,0.765,0.375,0.545,0.375,13146,t1_breach_half,0.21999999999999997,0.0,0.21999999999999997,21.999999999999996
79,20240508,1,0,7466,517.0,516.0,0.765,0.375,0.505,0.395,13174,t1_breach_half,0.26,-0.020000000000000018,0.24,24.0
80,20240508,2,1,15077,516.0,515.0,0.835,0.20500000000000002,1.13,0.045,19788,t1_eod,-0.29499999999999993,0.16000000000000003,-0.1349999999999999,-13.49999999999999
81,20240508,3,1,15077,516.0,515.0,0.835,0.20500000000000002,1.13,0.045,19788,t1_eod,-0.29499999999999993,0.16000000000000003,-0.1349999999999999,-13.49999999999999
82,20240509,0,0,9644,519.0,518.0,0.525,0.375,0.845,0.14500000000000002,12828,t1_breach_half,-0.31999999999999995,0.22999999999999998,-0.08999999999999997,-8.999999999999996
83,20240509,1,0,9644,519.0,518.0,0.525,0.375,0.8200000000000001,0.14500000000000002,12830,t1_breach_half,-0.29500000000000004,0.22999999999999998,-0.06500000000000006,-6.500000000000005
84,20240509,2,1,16891,519.0,518.0,0.585,0.11499999999999999,1.005,0.045,19788,t1_eod,-0.41999999999999993,0.06999999999999999,-0.3499999999999999,-34.99999999999999
85,20240509,3,1,16891,519.0,518.0,0.585,0.11499999999999999,1.005,0.045,19788,t1_eod,-0.41999999999999993,0.06999999999999999,-0.3499999999999999,-34.99999999999999
86,20240510,0,0,10332,520.0,519.0,0.895,0.265,1.0,0.055,19788,t1_eod,-0.10499999999999998,0.21000000000000002,0.10500000000000004,10.500000000000004
87,20240510,1,0,10332,520.0,519.0,0.895,0.265,1.0,0.055,19788,t1_eod,-0.10499999999999998,0.21000000000000002,0.10500000000000004,10.500000000000004
88,20240516,0,0,1802,530.0,529.0,0.915,0.37,0.535,0.46499999999999997,13931,t1_breach_half,0.38,-0.09499999999999997,0.28500000000000003,28.500000000000004
89,20240516,1,0,1802,530.0,529.0,0.915,0.37,0.545,0.475,13933,t1_breach_half,0.37,-0.10499999999999998,0.265,26.5
90,20240516,2,1,18176,530.0,529.0,0.345,0.265,0.455,0.10500000000000001,19788,t1_eod,-0.11000000000000004,0.16,0.04999999999999996,4.9999999999999964
91,20240516,3,1,18176,530.0,529.0,0.345,0.265,0.455,0.10500000000000001,19788,t1_eod,-0.11000000000000004,0.16,0.04999999999999996,4.9999999999999964
92,20240517,0,0,1802,529.0,528.0,0.745,0.575,0.11499999999999999,0.635,17079,t1_breach_half,0.63,-0.06000000000000005,0.57,56.99999999999999
93,20240517,1,0,1802,529.0,528.0,0.745,0.575,0.11499999999999999,0.6799999999999999,17081,t1_breach_half,0.63,-0.10499999999999998,0.525,52.5
94,20240517,2,1,18881,528.0,527.0,0.445,0.175,0.955,0.065,19788,t1_eod,-0.51,0.10999999999999999,-0.4,-40.0
95,20240517,3,1,18881,528.0,527.0,0.445,0.175,0.955,0.065,19788,t1_eod,-0.51,0.10999999999999999,-0.4,-40.0
96,20240521,0,0,1802,530.0,529.0,0.525,0.495,0.55,0.045,19788,t1_eod,-0.025000000000000022,0.45,0.425,42.5
97,20240521,1,0,1802,530.0,529.0,0.525,0.495,0.55,0.045,19788,t1_eod,-0.025000000000000022,0.45,0.425,42.5
98,20240522,0,0,1802,531.0,530.0,1.61,0.985,0.975,1.3849999999999998,14882,t1_breach_half,0.6350000000000001,-0.3999999999999998,0.23500000000000032,23.500000000000032
99,20240522,1,0,1802,531.0,530.0,1.61,0.985,0.995,1.355,14886,t1_breach_half,0.6150000000000001,-0.37,0.2450000000000001,24.50000000000001
100,20240523,0,0,7271,531.0,530.0,0.725,0.635,0.545,0.585,9730,t1_breach_half,0.17999999999999994,0.050000000000000044,0.22999999999999998,23.0
101,20240523,1,0,7271,531.0,530.0,0.725,0.635,0.535,0.635,9732,t1_breach_half,0.18999999999999995,0.0,0.18999999999999995,18.999999999999993
102,20240524,0,0,7227,530.0,529.0,0.675,0.485,0.545,0.625,7637,t1_breach_half,0.13,-0.14,-0.010000000000000009,-1.0000000000000009
103,20240524,1,0,7227,530.0,529.0,0.675,0.485,0.545,0.625,7639,t1_breach_half,0.13,-0.14,-0.010000000000000009,-1.0000000000000009
104,20240524,2,1,9439,530.0,529.0,0.545,0.475,0.095,0.305,19788,t1_eod,0.45000000000000007,0.16999999999999998,0.6200000000000001,62.000000000000014
105,20240524,3,1,9439,530.0,529.0,0.545,0.475,0.095,0.305,19788,t1_eod,0.45000000000000007,0.16999999999999998,0.6200000000000001,62.000000000000014
106,20240528,0,0,6685,530.0,529.0,0.545,0.395,0.345,0.375,12772,t1_breach_half,0.20000000000000007,0.020000000000000018,0.22000000000000008,22.000000000000007
107,20240528,1,0,6685,530.0,529.0,0.545,0.395,0.335,0.375,12774,t1_breach_half,0.21000000000000002,0.020000000000000018,0.23000000000000004,23.000000000000004
108,20240528,2,1,14574,530.0,529.0,0.335,0.28500000000000003,0.14500000000000002,0.705,15661,t1_breach_half,0.19,-0.41999999999999993,-0.22999999999999993,-22.999999999999993
109,20240528,3,1,14574,530.0,529.0,0.335,0.28500000000000003,0.14500000000000002,0.725,15663,t1_breach_half,0.19,-0.43999999999999995,-0.24999999999999994,-24.999999999999993
110,20240529,0,0,10565,527.0,526.0,0.605,0.485,0.535,0.525,12735,t1_breach_half,0.06999999999999995,-0.040000000000000036,0.029999999999999916,2.9999999999999916
111,20240529,1,0,10565,527.0,526.0,0.605,0.485,0.525,0.535,12737,t1_breach_half,0.07999999999999996,-0.050000000000000044,0.029999999999999916,2.9999999999999916
112,20240606,0,0,6421,535.0,534.0,0.685,0.545,0.355,0.905,10607,t1_breach_half,0.33000000000000007,-0.36,-0.029999999999999916,-2.9999999999999916
113,20240606,1,0,6421,535.0,534.0,0.685,0.545,0.355,0.925,10614,t1_breach_half,0.33000000000000007,-0.38,-0.04999999999999993,-4.999999999999993
114,20240606,2,1,12547,534.0,533.0,0.575,0.585,0.435,0.505,16561,t1_breach_half,0.13999999999999996,0.07999999999999996,0.21999999999999992,21.999999999999993
115,20240606,3,1,12547,534.0,533.0,0.575,0.585,0.425,0.505,16563,t1_breach_half,0.14999999999999997,0.07999999999999996,0.22999999999999993,22.999999999999993
116,20240606,4,2,19284,534.0,533.0,0.665,0.135,0.76,0.11499999999999999,19788,t1_eod,-0.09499999999999997,0.020000000000000018,-0.07499999999999996,-7.499999999999996
117,20240606,5,2,19284,534.0,533.0,0.665,0.135,0.76,0.11499999999999999,19788,t1_eod,-0.09499999999999997,0.020000000000000018,-0.07499999999999996,-7.499999999999996
118,20240607,0,0,8949,535.0,534.0,0.985,0.445,1.085,0.325,11467,t1_breach_half,-0.09999999999999998,0.12,0.020000000000000018,2.0000000000000018
119,20240607,1,0,8949,535.0,534.0,0.985,0.445,1.0750000000000002,0.325,11469,t1_breach_half,-0.09000000000000019,0.12,0.029999999999999805,2.9999999999999805
120,20240612,0,0,10172,543.0,542.0,1.585,1.2650000000000001,1.275,1.585,14581,t1_breach_half,0.31000000000000005,-0.31999999999999984,-0.009999999999999787,-0.9999999999999787
121,20240612,1,0,10172,543.0,542.0,1.585,1.2650000000000001,1.4049999999999998,1.375,15006,t1_breach_half,0.18000000000000016,-0.10999999999999988,0.07000000000000028,7.000000000000028
122,20240612,2,1,17896,543.0,542.0,1.205,1.17,1.2149999999999999,1.1549999999999998,17900,t1_breach_half,-0.009999999999999787,0.015000000000000124,0.0050000000000003375,0.5000000000000338
123,20240612,3,1,17896,543.0,542.0,1.205,1.17,1.205,1.165,17902,t1_breach_half,0.0,0.004999999999999893,0.004999999999999893,0.49999999999998934
124,20240613,0,0,8115,542.0,541.0,0.735,0.695,0.455,1.105,9075,t1_breach_half,0.27999999999999997,-0.41000000000000003,-0.13000000000000006,-13.000000000000005
125,20240613,1,0,8115,542.0,541.0,0.735,0.695,0.445,1.125,9077,t1_breach_half,0.29,-0.43000000000000005,-0.14000000000000007,-14.000000000000007
126,20240613,2,1,13965,541.0,540.0,0.985,0.305,1.6099999999999999,0.045,19788,t1_eod,-0.6249999999999999,0.26,-0.3649999999999999,-36.499999999999986
127,20240613,3,1,13965,541.0,540.0,0.985,0.305,1.6099999999999999,0.045,19788,t1_eod,-0.6249999999999999,0.26,-0.3649999999999999,-36.499999999999986
128,20240614,0,0,11795,542.0,541.0,0.595,0.46499999999999997,0.445,0.46499999999999997,16829,t1_breach_half,0.14999999999999997,0.0,0.14999999999999997,14.999999999999996
129,20240614,1,0,11795,542.0,541.0,0.595,0.46499999999999997,0.46499999999999997,0.455,16831,t1_breach_half,0.13,0.009999999999999953,0.13999999999999996,13.999999999999996
130,20240618,0,0,6724,547.0,546.0,0.945,0.46499999999999997,1.6949999999999998,0.055,15641,t1_breach_full,-0.7499999999999999,0.41,-0.3399999999999999,-33.99999999999999
131,20240618,1,0,6724,547.0,546.0,0.945,0.46499999999999997,1.6949999999999998,0.055,15641,t1_breach_full,-0.7499999999999999,0.41,-0.3399999999999999,-33.99999999999999
132,20240618,2,1,19669,548.0,547.0,0.385,0.14500000000000002,0.405,0.135,19788,t1_eod,-0.020000000000000018,0.010000000000000009,-0.010000000000000009,-1.0000000000000009
133,20240618,3,1,19669,548.0,547.0,0.385,0.14500000000000002,0.405,0.135,19788,t1_eod,-0.020000000000000018,0.010000000000000009,-0.010000000000000009,-1.0000000000000009
134,20240620,0,0,6173,549.0,548.0,1.005,0.375,0.585,0.665,8989,t1_breach_half,0.41999999999999993,-0.29000000000000004,0.1299999999999999,12.99999999999999
135,20240620,1,0,6173,549.0,548.0,1.005,0.375,0.575,0.685,8991,t1_breach_half,0.42999999999999994,-0.31000000000000005,0.11999999999999988,11.99999999999999
136,20240621,0,0,10231,545.0,544.0,1.045,0.325,0.435,0.765,13962,t1_breach_half,0.6099999999999999,-0.44,0.16999999999999987,16.999999999999986
137,20240621,1,0,10231,545.0,544.0,1.045,0.325,0.435,0.785,13981,t1_breach_half,0.6099999999999999,-0.46,0.14999999999999986,14.999999999999986
138,20240621,2,1,15811,544.0,543.0,0.945,0.245,0.615,0.10500000000000001,19788,t1_eod,0.32999999999999996,0.13999999999999999,0.47,47.0
139,20240621,3,1,15811,544.0,543.0,0.945,0.245,0.615,0.10500000000000001,19788,t1_eod,0.32999999999999996,0.13999999999999999,0.47,47.0
140,20240624,0,0,10402,546.0,545.0,0.695,0.335,0.28500000000000003,0.755,13021,t1_breach_half,0.4099999999999999,-0.42,-0.010000000000000064,-1.0000000000000064
141,20240624,1,0,10402,546.0,545.0,0.695,0.335,0.28500000000000003,0.755,13023,t1_breach_half,0.4099999999999999,-0.42,-0.010000000000000064,-1.0000000000000064
142,20240625,0,0,7156,544.0,543.0,0.785,0.375,0.295,0.755,11661,t1_breach_half,0.49000000000000005,-0.38,0.11000000000000004,11.000000000000004
143,20240625,1,0,7156,544.0,543.0,0.785,0.375,0.295,0.725,11663,t1_breach_half,0.49000000000000005,-0.35,0.14000000000000007,14.000000000000007
144,20240625,2,1,13866,543.0,542.0,0.795,0.20500000000000002,1.4649999999999999,0.035,19788,t1_eod,-0.6699999999999998,0.17,-0.4999999999999998,-49.99999999999998
145,20240625,3,1,13866,543.0,542.0,0.795,0.20500000000000002,1.4649999999999999,0.035,19788,t1_eod,-0.6699999999999998,0.17,-0.4999999999999998,-49.99999999999998
146,20240626,0,0,14959,544.0,543.0,0.945,0.195,0.885,0.11,19788,t1_eod,0.05999999999999994,0.085,0.14499999999999996,14.499999999999996
147,20240626,1,0,14959,544.0,543.0,0.945,0.195,0.885,0.11,19788,t1_eod,0.05999999999999994,0.085,0.14499999999999996,14.499999999999996
148,20240627,0,0,9651,546.0,545.0,0.595,0.515,0.295,0.555,16347,t1_breach_half,0.3,-0.040000000000000036,0.25999999999999995,25.999999999999996
149,20240627,1,0,9651,546.0,545.0,0.595,0.515,0.295,0.565,16349,t1_breach_half,0.3,-0.04999999999999993,0.25000000000000006,25.000000000000007
150,20240627,2,1,19079,545.0,544.0,0.555,0.20500000000000002,0.665,0.095,19788,t1_eod,-0.10999999999999999,0.11000000000000001,2.7755575615628914e-17,2.7755575615628914e-15
151,20240627,3,1,19079,545.0,544.0,0.555,0.20500000000000002,0.665,0.095,19788,t1_eod,-0.10999999999999999,0.11000000000000001,2.7755575615628914e-17,2.7755575615628914e-15
152,20240701,0,0,8898,544.0,543.0,1.0750000000000002,0.505,1.42,0.325,9595,t1_breach_half,-0.34499999999999975,0.18,-0.16499999999999976,-16.499999999999975
153,20240701,1,0,8898,544.0,543.0,1.0750000000000002,0.505,1.435,0.325,9597,t1_breach_half,-0.3599999999999999,0.18,-0.17999999999999988,-17.99999999999999
154,20240701,2,1,11804,545.0,544.0,0.885,0.345,0.425,0.295,18175,t1_breach_half,0.46,0.04999999999999999,0.51,51.0
155,20240701,3,1,11804,545.0,544.0,0.885,0.345,0.425,0.295,18177,t1_breach_half,0.46,0.04999999999999999,0.51,51.0
156,20240702,0,0,5892,546.0,545.0,0.785,0.535,0.885,0.415,7231,t1_breach_half,-0.09999999999999998,0.12000000000000005,0.020000000000000073,2.000000000000007
157,20240702,1,0,5892,546.0,545.0,0.785,0.535,0.875,0.415,7233,t1_breach_half,-0.08999999999999997,0.12000000000000005,0.030000000000000082,3.000000000000008
158,20240702,2,1,10512,545.0,544.0,0.965,0.265,2.7,0.015,19788,t1_eod,-1.7350000000000003,0.25,-1.4850000000000003,-148.50000000000003
159,20240702,3,1,10512,545.0,544.0,0.965,0.265,2.7,0.015,19788,t1_eod,-1.7350000000000003,0.25,-1.4850000000000003,-148.50000000000003
160,20240703,0,0,4916,550.0,549.0,0.5,0.385,1.48,0.025,12302,t1_breach_half,-0.98,0.36,-0.62,-62.0
161,20240703,1,0,4916,550.0,549.0,0.5,0.385,1.49,0.025,12304,t1_breach_half,-0.99,0.36,-0.63,-63.0
162,20240708,0,0,2769,556.0,555.0,0.695,0.455,0.46499999999999997,0.615,3805,t1_breach_half,0.22999999999999998,-0.15999999999999998,0.07,7.000000000000001
163,20240708,1,0,2769,556.0,555.0,0.695,0.455,0.46499999999999997,0.615,3807,t1_breach_half,0.22999999999999998,-0.15999999999999998,0.07,7.000000000000001
164,20240708,2,1,5616,555.0,554.0,0.975,0.255,0.235,0.255,19073,t1_breach_half,0.74,0.0,0.74,74.0
165,20240708,3,1,5616,555.0,554.0,0.975,0.255,0.235,0.255,19075,t1_breach_half,0.74,0.0,0.74,74.0
166,20240709,0,0,1802,557.0,556.0,0.745,0.665,0.515,0.785,2411,t1_breach_half,0.22999999999999998,-0.12,0.10999999999999999,10.999999999999998
167,20240709,1,0,1802,557.0,556.0,0.745,0.665,0.515,0.785,2413,t1_breach_half,0.22999999999999998,-0.12,0.10999999999999999,10.999999999999998
168,20240709,2,1,7496,556.0,555.0,0.725,0.295,0.555,0.335,14097,t1_breach_half,0.16999999999999993,-0.040000000000000036,0.1299999999999999,12.99999999999999
